,Title_TMDb,ID,IMDb ID,Release Date,TMDb Score,TMDb Vote Count,Revenue,Budget,Genres,Genres ID,Production Companies,Release Year,Release Month,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6
0,Star Wars: The Force Awakens,140607,tt2488496,2015-12-15,7.4,15728,2068223624,245000000,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","[28, 12, 878, 14]","['Lucasfilm Ltd.', 'Bad Robot']",2015,12,Action,Adventure,Science Fiction,Fantasy,,
1,Jurassic World,135397,tt0369610,2015-06-06,6.7,16741,1671713208,150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","[28, 12, 878, 53]","['Amblin Entertainment', 'Legendary Pictures', 'Universal Pictures', 'DENTSU', 'The Kennedy/Marshall Company']",2015,6,Action,Adventure,Science Fiction,Thriller,,
2,Furious 7,168259,tt2820852,2015-04-01,7.3,8283,1515047671,190000000,"['Action', 'Thriller']","[28, 53]","['Abu Dhabi Film Commission', 'Universal Pictures', 'China Film Co.', 'Original Film', 'Fuji Television Network', 'Québec Production Services Tax Credit', 'Colorado Office of Film, Television & Media', 'DENTSU', 'MRC', 'One Race']",2015,4,Action,Thriller,,,,
3,Avengers: Age of Ultron,99861,tt2395427,2015-04-22,7.3,17780,1405403694,250000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]",['Marvel Studios'],2015,4,Action,Adventure,Science Fiction,,,
4,Minions,211672,tt2293640,2015-06-17,6.4,8648,1156730962,74000000,"['Family', 'Animation', 'Adventure', 'Comedy']","[10751, 16, 12, 35]","['Illumination Entertainment', 'Universal Pictures']",2015,6,Family,Animation,Adventure,Comedy,,
5,Spectre,206647,tt2379713,2015-10-26,6.5,8262,880674609,245000000,"['Action', 'Adventure', 'Thriller']","[28, 12, 53]","['Danjaq', 'B24', 'Columbia Pictures', 'Metro-Goldwyn-Mayer', 'Eon Productions', 'Sony Pictures']",2015,10,Action,Adventure,Thriller,,,
6,Inside Out,150540,tt2096673,2015-06-09,7.9,16397,857611174,175000000,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']","[16, 10751, 12, 18, 35]","['Pixar', 'Walt Disney Pictures']",2015,6,Animation,Family,Adventure,Drama,Comedy,
7,Mission: Impossible - Rogue Nation,177677,tt2381249,2015-07-23,7.2,6666,682330139,150000000,"['Action', 'Adventure']","[28, 12]","['Paramount', 'China Movie Channel', 'Bad Robot', 'TC Productions', 'Alibaba Pictures Group', 'Odin', 'Skydance Media']",2015,7,Action,Adventure,,,,
8,The Hunger Games: Mockingjay - Part 2,131634,tt1951266,2015-11-18,6.9,9659,653428261,160000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]","['Lionsgate', 'Color Force', 'Studio Babelsberg']",2015,11,Action,Adventure,Science Fiction,,,
9,The Martian,286217,tt3659388,2015-09-30,7.7,15564,630161890,108000000,"['Drama', 'Adventure', 'Science Fiction']","[18, 12, 878]","['Scott Free Productions', 'Mid Atlantic Films', 'International Traders', 'TSG Entertainment', 'Genre Films', '20th Century Fox']",2015,9,Drama,Adventure,Science Fiction,,,
10,Fifty Shades of Grey,216015,tt2322441,2015-02-11,5.9,9405,571006128,4000000,"['Drama', 'Romance', 'Thriller']","[18, 10749, 53]","['Focus Features', 'Michael De Luca Productions', 'Trigger Street Productions']",2015,2,Drama,Romance,Thriller,,,
11,Cinderella,150689,tt1661199,2015-03-12,6.8,5811,543514353,95000000,"['Romance', 'Fantasy', 'Family', 'Drama']","[10749, 14, 10751, 18]","['Walt Disney Pictures', 'Genre Films', 'Beagle Pug Films', 'Allison Shearmur Productions']",2015,3,Romance,Fantasy,Family,Drama,,
12,The Revenant,281957,tt1663202,2015-12-25,7.5,14473,532950503,135000000,"['Western', 'Drama', 'Adventure']","[37, 18, 12]","['Monarchy Enterprises S.a.r.l.', 'Regency Enterprises', 'Appian Way', 'CatchPlay', 'Anonymous Content', 'New Regency Pictures', 'Hong Kong Alpha Motion Pictures Co.', 'M Productions', 'RatPac-Dune Entertainment']",2015,12,Western,Drama,Adventure,,,
13,Ant-Man,102899,tt0478970,2015-07-14,7.1,15427,519311965,130000000,"['Science Fiction', 'Action', 'Adventure']","[878, 28, 12]",['Marvel Studios'],2015,7,Science Fiction,Action,Adventure,,,
14,San Andreas,254128,tt2126355,2015-05-27,6.2,6549,473990832,110000000,"['Action', 'Drama', 'Thriller']","[28, 18, 53]","['New Line Cinema', 'Village Roadshow Pictures', 'Flynn Picture Company', 'Warner Bros. Pictures']",2015,5,Action,Drama,Thriller,,,
15,Hotel Transylvania 2,159824,tt2510894,2015-09-21,6.8,4302,473226958,80000000,"['Family', 'Animation', 'Comedy', 'Fantasy']","[10751, 16, 35, 14]","['Sony Pictures', 'Columbia Pictures', 'Sony Pictures Animation']",2015,9,Family,Animation,Comedy,Fantasy,,
16,Terminator Genisys,87101,tt1340138,2015-06-23,5.9,6627,440603537,155000000,"['Science Fiction', 'Action', 'Thriller', 'Adventure']","[878, 28, 53, 12]","['Skydance Media', 'Paramount']",2015,6,Science Fiction,Action,Thriller,Adventure,,
17,Mad Max: Fury Road,76341,tt1392190,2015-05-13,7.5,17916,378858340,150000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]","['Kennedy Miller Productions', 'Warner Bros. Pictures', 'RatPac-Dune Entertainment', 'Village Roadshow Pictures']",2015,5,Action,Adventure,Science Fiction,,,
18,Home,228161,tt2224026,2015-03-18,6.8,3065,368871007,135000000,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']","[14, 35, 16, 878, 10751]",['DreamWorks Animation'],2015,3,Fantasy,Comedy,Animation,Science Fiction,Family,
19,The Good Dinosaur,105864,tt1979388,2015-11-14,6.7,4183,332207671,175000000,"['Adventure', 'Animation', 'Family']","[12, 16, 10751]",['Pixar'],2015,11,Adventure,Animation,Family,,,
20,Captain America: Civil War,271110,tt3498820,2016-04-27,7.4,17910,1153296293,250000000,"['Adventure', 'Action', 'Science Fiction']","[12, 28, 878]",['Marvel Studios'],2016,4,Adventure,Action,Science Fiction,,,
21,Rogue One: A Star Wars Story,330459,tt3748528,2016-12-14,7.5,12024,1056057273,200000000,"['Action', 'Adventure', 'Science Fiction']","[28, 12, 878]",['Lucasfilm Ltd.'],2016,12,Action,Adventure,Science Fiction,,,
22,Finding Dory,127380,tt2277860,2016-06-16,7.1,9838,1028570889,200000000,"['Adventure', 'Animation', 'Comedy', 'Family']","[12, 16, 35, 10751]",['Pixar'],2016,6,Adventure,Animation,Comedy,Family,,
23,Zootopia,269149,tt2948356,2016-02-11,7.7,12884,1023784195,150000000,"['Animation', 'Adventure', 'Family', 'Comedy']","[16, 12, 10751, 35]","['Walt Disney Animation Studios', 'Walt Disney Pictures']",2016,2,Animation,Adventure,Family,Comedy,,
24,The Jungle Book,278927,tt3040964,2016-04-07,6.9,6611,966550600,175000000,"['Adventure', 'Drama', 'Family', 'Fantasy']","[12, 18, 10751, 14]","['Walt Disney Pictures', 'Fairview Entertainment', 'Moving Picture Company']",2016,4,Adventure,Drama,Family,Fantasy,,
25,The Secret Life of Pets,328111,tt2709768,2016-06-18,6.2,6710,875457937,75000000,"['Adventure', 'Comedy', 'Animation', 'Family']","[12, 35, 16, 10751]","['Universal Pictures', 'Fuji Television Network', 'Illumination Entertainment', 'DENTSU']",2016,6,Adventure,Comedy,Animation,Family,,
26,Batman v Superman: Dawn of Justice,209112,tt2975590,2016-03-23,5.9,14676,873634919,250000000,"['Action', 'Adventure', 'Fantasy']","[28, 12, 14]","['Warner Bros. Pictures', 'RatPac-Dune Entertainment', 'DC Comics', 'Atlas Entertainment', 'Cruel & Unusual Films', 'DC Entertainment']",2016,3,Action,Adventure,Fantasy,,,
27,Fantastic Beasts and Where to Find Them,259316,tt3183660,2016-11-16,7.4,15278,809342332,180000000,"['Adventure', 'Fantasy']","[12, 14]","['Heyday Films', 'Warner Bros. Pictures']",2016,11,Adventure,Fantasy,,,,
28,Deadpool,293660,tt1431045,2016-02-09,7.6,24781,783100000,58000000,"['Action', 'Adventure', 'Comedy']","[28, 12, 35]","['20th Century Fox', 'Marvel Entertainment', 'Kinberg Genre', ""The Donners' Company"", 'TSG Entertainment']",2016,2,Action,Adventure,Comedy,,,
29,Suicide Squad,297761,tt1386697,2016-08-03,5.9,17278,746846894,175000000,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']","[28, 12, 80, 14, 878]","['DC Entertainment', 'Dune Entertainment', 'Warner Bros. Pictures', 'Atlas Entertainment', 'DC Comics', 'DC Films', 'Lin Pictures']",2016,8,Action,Adventure,Crime,Fantasy,Science Fiction,
30,Moana,277834,tt3521164,2016-11-23,7.6,9428,690860472,150000000,"['Adventure', 'Comedy', 'Family', 'Animation']","[12, 35, 10751, 16]","['Walt Disney Pictures', 'Walt Disney Animation Studios', 'Hurwitz Creative']",2016,11,Adventure,Comedy,Family,Animation,,
31,Doctor Strange,284052,tt1211837,2016-10-25,7.4,16826,677700000,165000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","[28, 12, 14, 878]",['Marvel Studios'],2016,10,Action,Adventure,Fantasy,Science Fiction,,
32,Sing,335797,tt3470600,2016-11-23,7.1,5980,634151679,75000000,"['Family', 'Animation', 'Music', 'Comedy', 'Drama']","[10751, 16, 10402, 35, 18]","['Illumination Entertainment', 'Universal Pictures', 'Fuji Television Network', 'DENTSU']",2016,11,Family,Animation,Music,Comedy,Drama,
33,The Mermaid,381890,tt4701660,2016-02-08,6.2,197,553810228,60720000,"['Comedy', 'Fantasy', 'Romance']","[35, 14, 10749]","['China Film Group', 'Edko Films Ltd.']",2016,2,Comedy,Fantasy,Romance,,,
34,X-Men: Apocalypse,246655,tt3385516,2016-05-18,6.5,10408,543934787,178000000,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","[28, 12, 878, 14]","[""The Donners' Company"", 'Marvel Entertainment', 'Bad Hat Harry Productions', 'TSG Entertainment', '20th Century Fox', 'Genre Films']",2016,5,Action,Adventure,Science Fiction,Fantasy,,
35,Kung Fu Panda 3,140300,tt2267968,2016-01-23,6.8,4138,521170825,145000000,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']","[28, 12, 16, 35, 10751]","['Pearl Studio', 'China Film Co.', 'DreamWorks Animation']",2016,1,Action,Adventure,Animation,Comedy,Family,
36,La La Land,313369,tt3783958,2016-11-29,7.9,13192,446486224,30000000,"['Comedy', 'Drama', 'Romance', 'Music']","[35, 18, 10749, 10402]","['Summit Entertainment', 'Black Label Media', 'Gilbert Films', 'Impostor Pictures', 'Marc Platt Productions', 'Lionsgate']",2016,11,Comedy,Drama,Romance,Music,,
37,Warcraft,68735,tt0803096,2016-05-25,6.3,5231,433677183,160000000,"['Action', 'Adventure', 'Fantasy']","[28, 12, 14]","['Legendary Pictures', 'Universal Pictures', 'Atlas Entertainment', 'Blizzard Entertainment', 'Tencent Pictures']",2016,5,Action,Adventure,Fantasy,,,
38,Jason Bourne,324668,tt4196776,2016-07-27,6.3,4476,415484914,120000000,"['Action', 'Thriller']","[28, 53]","['The Kennedy/Marshall Company', 'Captivate Entertainment', 'Pearl Street Films', 'Double Negative', 'Perfect World Pictures']",2016,7,Action,Thriller,,,,
39,Ice Age: Collision Course,278154,tt3416828,2016-06-23,6.0,3370,408579038,105000000,"['Adventure', 'Animation', 'Family', 'Comedy', 'Science Fiction']","[12, 16, 10751, 35, 878]","['Blue Sky Studios', '20th Century Fox Animation', '20th Century Fox']",2016,6,Adventure,Animation,Family,Comedy,Science Fiction,
40,Star Wars: The Last Jedi,181808,tt2527336,2017-12-13,6.9,11851,1332539889,200000000,"['Science Fiction', 'Action', 'Adventure']","[878, 28, 12]",['Lucasfilm Ltd.'],2017,12,Science Fiction,Action,Adventure,,,
41,Beauty and the Beast,321612,tt2771200,2017-03-16,7.0,13369,1263521126,160000000,"['Family', 'Fantasy', 'Romance']","[10751, 14, 10749]","['Walt Disney Pictures', 'Mandeville Films']",2017,3,Family,Fantasy,Romance,,,
42,The Fate of the Furious,337339,tt4630562,2017-04-12,6.9,8168,1238764765,250000000,"['Action', 'Crime', 'Thriller']","[28, 80, 53]","['Universal Pictures', 'Original Film', 'Fuji Eight Company Ltd.', 'China Film Co.', 'DENTSU', 'One Race']",2017,4,Action,Crime,Thriller,,,
43,Despicable Me 3,324852,tt3469046,2017-06-15,6.4,5472,1031552585,80000000,"['Action', 'Animation', 'Comedy', 'Family', 'Adventure']","[28, 16, 35, 10751, 12]","['Universal Pictures', 'Illumination Entertainment']",2017,6,Action,Animation,Comedy,Family,Adventure,
44,Jumanji: Welcome to the Jungle,353486,tt2283362,2017-12-09,6.8,10599,962102237,90000000,"['Action', 'Adventure', 'Comedy', 'Fantasy']","[28, 12, 35, 14]","['Radar Pictures', 'Matt Tolmach Productions', 'Seven Bucks Productions', 'Columbia Pictures', 'Sony Pictures']",2017,12,Action,Adventure,Comedy,Fantasy,,
45,Spider-Man: Homecoming,315635,tt2250912,2017-07-05,7.4,16044,880166924,175000000,"['Action', 'Adventure', 'Science Fiction', 'Drama']","[28, 12, 878, 18]","['Marvel Studios', 'Columbia Pictures', 'Pascal Pictures', 'LStar Capital', 'Sony Pictures']",2017,7,Action,Adventure,Science Fiction,Drama,,
46,Wolf Warrior 2,452557,tt7131870,2017-07-27,6.6,158,870322670,29700000,"['War', 'Action', 'Drama']","[10752, 28, 18]","['Spring Era Film Company', 'Beijing Dongfang International Cultural Communications Company', 'Beijing Century Media Culture', 'Chao Feng Pictures', 'Orange Image']",2017,7,War,Action,Drama,,,
47,Guardians of the Galaxy Vol. 2,283995,tt3896198,2017-04-19,7.6,16465,863756051,200000000,"['Adventure', 'Action', 'Science Fiction', 'Comedy']","[12, 28, 878, 35]",['Marvel Studios'],2017,4,Adventure,Action,Science Fiction,Comedy,,
48,Thor: Ragnarok,284053,tt3501632,2017-10-25,7.6,15770,853977126,180000000,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Science Fiction']","[28, 12, 35, 14, 878]","['Marvel Studios', 'Walt Disney Pictures']",2017,10,Action,Adventure,Comedy,Fantasy,Science Fiction,
