,Title,Revenue,Box Office,Budget,Release Year,Release Month
0,Star Wars: The Force Awakens,2068223624,936662225,245000000,2015,12
1,Jurassic World,1671713208,652385625,150000000,2015,6
2,Furious 7,1515047671,353007020,190000000,2015,4
3,Avengers: Age of Ultron,1405403694,459005868,250000000,2015,4
4,Minions,1156730962,336045770,74000000,2015,6
5,Spectre,880674609,200074609,245000000,2015,10
6,Inside Out,857611174,356921711,175000000,2015,6
7,Mission: Impossible - Rogue Nation,682330139,195042377,150000000,2015,7
8,The Hunger Games: Mockingjay - Part 2,653428261,281723902,160000000,2015,11
9,The Martian,630161890,228433663,108000000,2015,9
10,Fifty Shades of Grey,571006128,166167230,4000000,2015,2
11,Cinderella,543514353,201151353,95000000,2015,3
12,The Revenant,532950503,183637894,135000000,2015,12
13,Ant-Man,519311965,180202163,130000000,2015,7
14,San Andreas,473990832,155190832,110000000,2015,5
15,Hotel Transylvania 2,473226958,169700110,80000000,2015,9
16,Terminator Genisys,440603537,89760956,155000000,2015,6
17,Mad Max: Fury Road,378858340,154058340,150000000,2015,5
18,Home,368871007,177397510,135000000,2015,3
19,The Good Dinosaur,332207671,123087120,175000000,2015,11
20,Captain America: Civil War,1153296293,408084349,250000000,2016,4
21,Rogue One: A Star Wars Story,1056057273,532177324,200000000,2016,12
22,Finding Dory,1028570889,486295561,200000000,2016,6
23,Zootopia,1023784195,341268248,150000000,2016,2
24,The Jungle Book,966550600,364001123,175000000,2016,4
25,The Secret Life of Pets,875457937,368384330,75000000,2016,6
26,Batman v Superman: Dawn of Justice,873634919,330360194,250000000,2016,3
27,Fantastic Beasts and Where to Find Them,809342332,234037575,180000000,2016,11
28,Deadpool,783100000,363070709,58000000,2016,2
29,Suicide Squad,746846894,325100054,175000000,2016,8
30,Moana,690860472,248757044,150000000,2016,11
31,Doctor Strange,677700000,232641920,165000000,2016,10
32,Sing,634151679,270448425,75000000,2016,11
33,X-Men: Apocalypse,543934787,155442489,178000000,2016,5
34,Kung Fu Panda 3,521170825,143528619,145000000,2016,1
35,La La Land,446486224,151101803,30000000,2016,11
36,Warcraft,433677183,47365290,160000000,2016,5
37,Jason Bourne,415484914,162434410,120000000,2016,7
38,Ice Age: Collision Course,408579038,64063008,105000000,2016,6
39,Star Wars: The Last Jedi,1332539889,620181382,200000000,2017,12
40,Beauty and the Beast,1263521126,504481165,160000000,2017,3
41,The Fate of the Furious,1238764765,226008385,250000000,2017,4
42,Despicable Me 3,1031552585,264624300,80000000,2017,6
43,Jumanji: Welcome to the Jungle,962102237,404540171,90000000,2017,12
44,Spider-Man: Homecoming,880166924,334201140,175000000,2017,7
45,Wolf Warrior 2,870322670,2721100,29700000,2017,7
46,Guardians of the Galaxy Vol. 2,863756051,389813101,200000000,2017,4
47,Thor: Ragnarok,853977126,315058289,180000000,2017,10
48,Wonder Woman,821847012,412815408,149000000,2017,5
49,Coco,800526015,210460015,175000000,2017,10
50,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,172558876,230000000,2017,5
51,It,701796444,328828874,35000000,2017,9
52,Justice League,657924295,229024295,300000000,2017,11
53,Logan,619021436,226277068,97000000,2017,2
54,Transformers: The Last Knight,605425157,130168683,217000000,2017,6
55,Kong: Skull Island,566652812,168052812,185000000,2017,3
56,Dunkirk,525573161,189740665,100000000,2017,7
57,The Boss Baby,498814908,175003033,125000000,2017,3
58,War for the Planet of the Apes,488533726,146880162,150000000,2017,7
59,Avengers: Infinity War,2046239637,678815482,300000000,2018,4
60,Black Panther,1346739107,700426566,200000000,2018,2
61,Jurassic World: Fallen Kingdom,1303459585,417719760,170000000,2018,6
62,Incredibles 2,1242805359,608581744,200000000,2018,6
63,Aquaman,1148461807,335061807,160000000,2018,12
64,Bohemian Rhapsody,894027543,216668042,52000000,2018,10
65,Venom,855013954,213515506,116000000,2018,9
66,Mission: Impossible - Fallout,791017452,220159104,178000000,2018,7
67,Deadpool 2,786365638,324591735,110000000,2018,5
68,Fantastic Beasts: The Crimes of Grindelwald,653355901,159555901,200000000,2018,11
69,Ant-Man and the Wasp,622674139,216648740,140000000,2018,7
70,Ready Player One,582890172,137690172,175000000,2018,3
71,Operation Red Sea,579220560,1543547,70000000,2018,2
72,The Meg,530243742,145443742,150000000,2018,8
73,Ralph Breaks the Internet,529221154,201091711,175000000,2018,11
74,The Grinch,508575295,271094731,75000000,2018,11
75,Bumblebee,467989645,127195589,135000000,2018,12
76,A Star Is Born,433888866,215288866,36000000,2018,10
77,Rampage,426245950,101028233,120000000,2018,4
78,Avengers: Endgame,2797800564,858373000,356000000,2019,4
79,The Lion King,1656943394,543638043,260000000,2019,7
80,Frozen II,1450026933,477373578,150000000,2019,11
81,Spider-Man: Far from Home,1131927996,390532085,160000000,2019,6
82,Captain Marvel,1128276090,426829839,152000000,2019,3
83,Joker,1074251311,335451311,55000000,2019,10
84,Star Wars: The Rise of Skywalker,1074144248,515202542,250000000,2019,12
85,Toy Story 4,1073394593,434038008,175000000,2019,6
86,Aladdin,1047612394,355559216,183000000,2019,5
87,Jumanji: The Next Level,796575993,320314960,125000000,2019,12
88,Ne Zha,686067000,3695533,0,2019,7
89,How to Train Your Dragon: The Hidden World,517526875,160799505,129000000,2019,1
90,Maleficent: Mistress of Evil,491570967,113929605,185000000,2019,10
91,It Chapter Two,473093228,211593228,79000000,2019,9
92,Pokémon Detective Pikachu,433005346,144105346,150000000,2019,5
93,Alita: Battle Angel,404852543,85838210,170000000,2019,1
94,Godzilla: King of the Monsters,386600138,110500138,170000000,2019,5
95,1917,374733942,159227644,100000000,2019,12
